copyrightdate,itemcallnumber,title,author,ccode,itemnumber
1996,917.804 Amb,Undaunted courage :,"Ambrose, Stephen E.",NFIC,26160
2007,174 SAN,The case against perfection :,"Sandel, Michael J.",NFIC,26198
1998,814 Bal,Collected essays /,"Baldwin, James,",NFIC,26224
1994,F COL,With every drop of blood /,"Collier, James Lincoln,",FHS,26845
1999,F BAR,Anna of Byzantium /,"Barrett, Tracy,",FHS,27056
2003,F GIL,Dead girls don't write letters /,"Giles, Gail.",FM,27438
2003,F KOE,Shakespeare bats cleanup /,"Koertge, Ronald.",FREAL,27441
2004,F BAR,Child of the dark prophecy /,"Barron, T. A.",FFF,27562
2010,F KOE,Shakespeare makes the playoffs /,"Koertge, Ronald.",FV,28534
2011,B ACHATZ ACH,"Life, on the line :","Achatz, Grant.",BIO,28965
2011,B SEDIQI TZE,The dressmaker of Khair Khana :,"Tzemach Lemmon, Gayle.",BIO,29074
2011,F BAR,Dark of the moon /,"Barrett, Tracy,",FFF,29147
1940,F HEM,For whom the bell tolls /,"Hemingway, Ernest,",FHS,29215
2011,F HEA,The shattering /,"Healey, Karen.",FM,29301
2012,F MAZ,Somebody please tell me who I am /,"Mazer, Harry.",FHS,29536
2011,F NYE,There is no long distance now :,"Nye, Naomi Shihab.",SS,29784
2012,B SHI,Escape from Camp 14 :,"Harden, Blaine.",BIO,29952
2006,G YAB,Black Cat.,"Yabuki, Kentaro.",GN,30751
2013,F ADI,Americanah :,"Adichie, Chimamanda Ngozi,",FREL,35922
2014,B MACD Mac,H is for hawk /,"Macdonald, Helen,",BIO,31356
2015,F RUB,Bone Gap /,"Ruby, Laura.",FSC,31673
2015,F SHA,X :,"Shabazz, Ilyasah.",FHS,31801
2016,F WAL,My name is not Friday /,"Walter, Jon,",FHS,31823
2016,F STO,The memory of light /,"Stork, Francisco X.",FREAL,31847
2012,G Whe,Astonishing X-Men.,"Whedon, Joss,",GN,32250
2008,F Fal,Cathedral of the Sea /,"Falcones de Sierra, Ildefonso,",FHS,32284
2012,F Adi,Purple hibiscus :,"Adichie, Chimamanda Ngozi,",FREL,32324
2003,F Kno,A separate peace /,"Knowles, John,",FREAL,33756
2018,F WOO,If you come softly :,"Woodson, Jacqueline",FREL,34033
2002,B Ataturk Man,Atat�urk /,"Mango, Andrew.",BIO,34048
2020,B And,Shout.,"Anderson, Laurie Halse.",BIO,37913
